Event_Id,Event_URL,Event_Title,Event_startDate,Location_formattedAddress,Location_Latitude,Location_Longitude,Location_Location,Location_Name,Location_countryCode,State_countryCode,State_Code,State_Name
EV-20250111-2924,https://paddleguru.com/races/ReturntothePier2025,Return to the Pier 2025,2025-01-11,"West Beach, Santa Barbara, CA 93109, USA",34.4103348,-119.6901125,"point({srid:4326, x:-119.6901125, y:34.4103348})","West Beach, Santa Barbara",US,US,CA,California
EV-20250111-2925,https://paddleguru.com/races/PNWORCAWinterSeriesRace1WasabiBridgeToBridge2025,PNWORCA Winter Series Race #1: Wasabi Bridge To Bridge 2025,2025-01-11,"Parking lot, 12800 NW Marina Way, Portland, OR 97231, USA",45.6184204,-122.8050588,"point({srid:4326, x:-122.8050588, y:45.6184204})","12800 Northwest Marina Way, Portland, OR 97231, USA",US,US,OR,Oregon
EV-20250118-2926,https://paddleguru.com/races/RedwoodWaterSportsRace5YearoftheSnake2025,Redwood Water Sports Race #5 Year of the Snake 2025,2025-01-18,"487 Seaport Ct, Redwood City, CA 94063, USA",37.5043571,-122.2127742,"point({srid:4326, x:-122.2127742, y:37.5043571})","487 Seaport Court, Redwood City, CA, USA",US,US,CA,California
EV-20250125-2929,https://paddleguru.com/races/HanohanoOceanChallenge2025,Hanohano  Ocean Challenge 2025,2025-01-25,"San Diego, CA, USA",32.715738,-117.1610838,"point({srid:4326, x:-117.1610838, y:32.715738})","San Diego, CA, United States",US,US,CA,California
EV-20250201-2932,https://paddleguru.com/races/NACVaaCaliforniaSeriesIIIRace22025,NAC Va'a California Series III Race #2 2025,2025-02-01,"Palawan Way, Marina Del Rey, CA 90292, USA",33.9820943,-118.4548098,"point({srid:4326, x:-118.4548098, y:33.9820943})","Palawan Way, Marina del Rey, CA 90292, USA",US,US,CA,California
EV-20250202-2933,https://paddleguru.com/races/USAORCAV6TrialsforIVFDistance2025,USAORCA V6 Trials for IVF Distance 2025,2025-02-02,"4101 Admiralty Way, Marina Del Rey, CA 90292, USA",33.981237,-118.4589996,"point({srid:4326, x:-118.4589996, y:33.981237})","4101 Admiralty Way, Marina del Rey, CA 90292, USA",US,US,CA,California
EV-20250208-2934,https://paddleguru.com/races/SuperChillPaddlenPlungeIIplusVirtualBlizzardSeries,Super Chill Paddle 'n Plunge II plus Virtual Blizzard Series,2025-02-08,"571 Stutts Rd, Mooresville, NC 28117, USA",35.5436432,-80.8942168,"point({srid:4326, x:-80.8942168, y:35.5436432})","571 Stutts Road, Mooresville, NC, USA",US,US,NC,North Carolina
EV-20250208-2935,https://paddleguru.com/races/NACHalRosoffClassic2025,NAC Hal Rosoff Classic 2025,2025-02-08,"1 Whitecliffs Dr, Newport Beach, CA 92660, USA",33.6252633,-117.8938935,"point({srid:4326, x:-117.8938935, y:33.6252633})","1 Whitecliffs Dr, Newport Beach, CA, United States",US,US,CA,California
EV-20250216-2936,https://paddleguru.com/races/RedwoodWaterSportsRace6MardisGras,Redwood Water Sports Race #6 Mardis Gras,2025-02-16,"487 Seaport Ct, Redwood City, CA 94063, USA",37.5043571,-122.2127742,"point({srid:4326, x:-122.2127742, y:37.5043571})","487 Seaport Court, Redwood City, CA, USA",US,US,CA,California
EV-20250222-2937,https://paddleguru.com/races/LanakilaClassic2025,Lanakila Classic 2025,2025-02-22,"200 Portofino Way, Redondo Beach, CA 90277, USA",33.8443671,-118.3944685,"point({srid:4326, x:-118.3944685, y:33.8443671})","Seaside Lagoon, Portofino Way, Redondo Beach, CA, United States",US,US,CA,California
EV-20250222-2938,https://paddleguru.com/races/954WinterPaddleRaceSeriesII,954 Winter Paddle Race Series II🏄‍♂️,2025-02-22,"1400 N Federal Hwy, Fort Lauderdale, FL 33304, USA",26.1443054,-80.1179439,"point({srid:4326, x:-80.1179439, y:26.1443054})","1400 North Federal Highway, Fort Lauderdale, FL, USA",US,US,FL,Florida
EV-20250301-2939,https://paddleguru.com/races/NACVaaCaliforniaSeriesIIIRace32025,NAC Va'a California Series III Race #3 2025,2025-03-01,"1 Whitecliffs Dr, Newport Beach, CA 92660, USA",33.6252633,-117.8938935,"point({srid:4326, x:-117.8938935, y:33.6252633})","1 Whitecliffs Dr, Newport Beach, CA, United States",US,US,CA,California
EV-20250301-3060,https://racehubhq.com/races/2025MPHDOWNWIND1OceanVodka,2025 MPH - DOWN WIND 1 - Ocean Vodka,2025-03-01,"Maliko Bay, Hawaii, USA",20.9376504,-156.34048,"point({srid:4326, x:-156.34048, y:20.9376504})","Maliko Bay, HI",US,US,HI,Hawaii
EV-20250308-2940,https://paddleguru.com/races/954WinterPaddleRaceSeriesIII,954 Winter Paddle Race Series III🏄‍♂️,2025-03-08,"1400 N Federal Hwy, Fort Lauderdale, FL 33304, USA",26.1443054,-80.1179439,"point({srid:4326, x:-80.1179439, y:26.1443054})","1400 North Federal Highway, Fort Lauderdale, FL, USA",US,US,FL,Florida
EV-20250316-2943,https://paddleguru.com/races/RedwoodWaterSportsRace7StPatricks,Redwood Water Sports Race #7 St. Patricks,2025-03-09,"487 Seaport Ct, Redwood City, CA 94063, USA",37.5043571,-122.2127742,"point({srid:4326, x:-122.2127742, y:37.5043571})","487 Seaport Court, Redwood City, CA, USA",US,US,CA,California
EV-20250315-2941,https://paddleguru.com/races/101SurfSportsRaceSeriesPaddlefortheCure,101 Surf Sports Race Series | Paddle for the Cure,2025-03-15,"115 3rd St, San Rafael, CA 94901, USA",37.968719,-122.5127467,"point({srid:4326, x:-122.5127467, y:37.968719})","115 3rd Street, San Rafael, CA, USA",US,US,CA,California
EV-20250315-2942,https://paddleguru.com/races/TreasureCoastPaddleBattle2025,Treasure Coast Paddle Battle 2025,2025-03-15,"Fort Pierce, FL, USA",27.4467056,-80.3256056,"point({srid:4326, x:-80.3256056, y:27.4467056})","Fort Pierce, FL, USA",US,US,FL,Florida
EV-20250315-2982,https://paddleguru.com/races/DANAOCEANCHALLENGE2025,DANA OCEAN CHALLENGE 2025,2025-03-15,"Dana Point Harbor Dr, Dana Point, CA 92629, USA",33.4634617,-117.7049106,"point({srid:4326, x:-117.7049106, y:33.4634617})","Dana Point Harbor Drive, Dana Point, CA, USA",US,US,CA,California
EV-20250315-3108,https://paddleguru.com/races/PNWORCARace6KaiPDXVaa,PNWORCA Race #6 - Kai PDX Va’a,2025-03-15,"7815 SE Oaks Park Way, Portland, OR 97202, USA",45.4697615,-122.6629094,"point({srid:4326, x:-122.6629094, y:45.4697615})","7815 Southeast Oaks Park Way, Portland, OR, USA",US,US,OR,Oregon
EV-20250322-2944,https://paddleguru.com/races/StJohnsRiverChallenge,St. Johns River Challenge,2025-03-22,"2800 University Blvd N, Jacksonville, FL 32211, USA",30.3486663,-81.60383589999999,"point({srid:4326, x:-81.60383589999999, y:30.3486663})","2800 University Boulevard North, Jacksonville, FL, USA",US,US,FL,Florida
EV-20250323-3089,https://paddleguru.com/races/AdlerPaddler2025,Adler Paddler 2025,2025-03-23,"5489 E Ocean Blvd, Long Beach, CA 90803, USA",33.7518966,-118.1289853,"point({srid:4326, x:-118.1289853, y:33.7518966})","5489 East Ocean Boulevard, Long Beach, CA, USA",US,US,CA,California
EV-20250404-2945,https://paddleguru.com/races/WildBuffaloRacePresentedbyPuakeaDesigns2025,Wild Buffalo Race Presented by Puakea Designs 2025,2025-04-04,"Avalon, CA 90704, USA",33.3428193,-118.3282279,"point({srid:4326, x:-118.3282279, y:33.3428193})","Avalon, CA 90704, USA",US,US,CA,California
EV-20250405-3061,https://racehubhq.com/races/6thAnnualHavasuHeatRaceApril5thLakeHavasuCity,6th Annual Havasu Heat Race - April 5th - Lake Havasu City,2025-04-05,"Rotary Park Dr, Lake Havasu City, AZ, USA",34.4637471,-114.3411195,"point({srid:4326, x:-114.3411195, y:34.4637471})","Rotary Park Drive, Lake Havasu City, AZ, USA",US,US,AZ,Arizona
EV-20250412-2946,https://paddleguru.com/races/SkywayOutriggerChallenge2025,Skyway Outrigger Challenge 2025,2025-04-12,"FT De Soto Park, Florida 33715, USA",27.6327549,-82.7189454,"point({srid:4326, x:-82.7189454, y:27.6327549})","Fort De Soto Park, St. Petersburg, FL, USA",US,US,FL,Florida
EV-20250412-2947,https://paddleguru.com/races/HuntingIslandPaddlefest2025,Hunting Island Paddlefest 2025,2025-04-12,"Butches Rd, South Carolina 29920, USA",32.408522,-80.4672263,"point({srid:4326, x:-80.4672263, y:32.408522})","Butches Road, South Carolina 29920, USA",US,US,SC,South Carolina
EV-20250412-2948,https://paddleguru.com/races/DamntheTorpedoes2025,Damn the Torpedoes 2025,2025-04-12,"700 S Mobile St, Fairhope, AL 36532, USA",30.5133238,-87.9184464,"point({srid:4326, x:-87.9184464, y:30.5133238})","700 South Mobile Street, Fairhope, AL, USA",US,US,AL,Alabama
EV-20250412-3001,https://paddleguru.com/races/PinchotPaddleRacersOptionsRaces,Pinchot Paddle Racers Options Races,2025-04-12,"Lakeside Trail, Wellsville, PA 17365, USA",40.0793037,-76.8807619,"point({srid:4326, x:-76.8807619, y:40.0793037})","Gifford Pinchot State Park, Wellsville, PA, USA Mooring #3",US,US,PA,Pennsylvania
EV-20250412-3092,https://paddleguru.com/races/KumuohuChallenge2025,Kumu'ohu Challenge 2025,2025-04-12,"3700 Water St NW, Washington, DC 20007, USA",38.9045447,-77.07176319999999,"point({srid:4326, x:-77.07176319999999, y:38.9045447})","3700 Water Street Northwest, Washington, DC, USA",US,US,WA,Washington
EV-20250412-3110,https://paddleguru.com/races/TheLifeguardLap,The Lifeguard Lap,2025-04-12,"Olde Port Beach, California 93405, USA",35.17759849999999,-120.7491837,"point({srid:4326, x:-120.7491837, y:35.17759849999999})","Olde Port Beach:  Avila Beach Drive, San Luis Obispo, CA, USA",US,US,CA,California
